"dcod_sint_cmorb","febre","dificuldaderespiratoria","tosse","coriza","dorgarganta","diarreia","cefaleia","comorbidadepulmao","comorbidadecardio","comorbidaderenal","comorbidadediabetes","comorbidadetabagismo","comorbidadeobesidade"
0,,,,,,,,,,,,,
1,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
2,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não
3,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
4,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
5,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
6,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
7,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
8,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
9,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
10,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
11,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
12,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
14,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não
15,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
16,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
17,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
18,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
19,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não
20,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não
21,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
22,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
23,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
24,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
25,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
26,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
27,Sim,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não
28,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
29,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
30,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não
31,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não
32,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
33,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
34,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim
35,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não
36,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
37,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
38,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não
39,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
40,Não,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não
41,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
42,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
43,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
44,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
45,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
46,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
47,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
48,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não
49,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
50,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim
51,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
52,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
53,Não,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não
54,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
55,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
56,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
57,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
58,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
59,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
60,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
61,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
62,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
63,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não
64,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
65,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não
66,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não
67,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
68,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
69,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
70,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
71,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
72,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
73,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
74,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não
75,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim
76,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não
77,Não,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não
78,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não
79,Não,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não
80,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim
81,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não
82,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
83,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não
84,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
85,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não
86,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
87,Não,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não
88,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
89,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
90,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,Não
91,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
92,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
93,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
94,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não
95,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
96,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
97,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim
98,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não
99,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
100,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não
101,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
102,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não
103,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
104,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não
105,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
106,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
107,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
108,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
109,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não
110,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
111,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
112,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não
113,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
114,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não
115,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
116,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
117,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
118,Não,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não
119,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não
120,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
121,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
122,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não
123,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
124,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não
125,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
126,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
127,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim
128,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Sim
129,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não
130,Não,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não
131,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
132,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não
133,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
134,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
135,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
136,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não
137,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não
138,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não
139,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim
140,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
141,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não
142,Sim,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não
143,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
144,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não
145,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não
146,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
147,Não,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não
148,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não
149,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não
150,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
151,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
152,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não
153,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
154,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não
155,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não
